"SYMBOL","PURPOSE","VALUE","EX_DATE"
"BIOCON","AGM/DIV-RS.3/- PER SHARE BC START DATE REVISED","3","2009-07-08"
"BIOCON","ANNUAL GENERAL MEETING AND DIVIDEND RS.3.50 PER SHARE","3.5","2010-07-08"
"BIOCON","FIN DIV-60% + SPL DIV-40%","100.00%","2008-07-03"
"BIOCON","DIVIDEND-40%","40.00%","2005-06-29"
"BIOCON","AGM/DIVIDEND - 60%","60.00%","2007-06-28"
"BOMDYEING","DIVIDEND-RS.2.50 PER SHARE","2.5","2010-07-30"
"BOMDYEING","AGM/DIV-RS.3.50 PER SHAREBC END DATE REVISED","3.5","2008-08-08"
"BOMDYEING","AGM/DIV-RS.5/- PER SH","5","2007-07-03"
"BOMDYEING","AGM/DIVIDEND-RS.5/-PER SH","5","2006-07-04"
"BOSCHLTD","AGM/FIN DIV-RS.4/- PER SH","4","2007-05-14"
"BOSCHLTD","AGM/FIN DIV-RS.12 PER SH","12","2006-04-28"
"BOSCHLTD","AGM/DIV-RS.25/- PER SHARE","25","2009-05-07"
"BOSCHLTD","AGM/DIV-RS25 PER SHARE","25","2008-05-14"
"BOSCHLTD","AGM/DIV-RS.30/- PER SHARE","30","2010-05-13"
"BOSCHLTD","DIVIDEND - RS. 40 PER SHARE","40","2011-05-12"
"BOSCHLTD","SPECIAL DIVIDEND RS.85/- PER SHARE","85","2011-06-23"
"BPCL","AGM/DIV-RS.7/- PER SHARE","7","2009-08-26"
"BPCL","ANNUAL GENERAL MEETING AND DIVIDEND RS.14/- PER SHARE","14","2010-09-08"
"BPCL","AGM/FINAL DIVIDEND-100%","100.00%","2007-09-04"
"BPCL","DIVIDEND-25%","25.00%","2006-11-15"
"BPCL","AGM/DIVIDEND - 40%","40.00%","2008-09-10"
"BPCL","INTERIM DIVIDEND - 60%","60.00%","2007-01-15"
"BRFL","AGM/DIV-RE.1/- PER SH","1","2006-08-17"
"BRFL","AGM/FIN DIV-RS1.25 PER SH","1.25","2007-08-16"
"BRFL","AGM/DIV-RS.1.50 PER SHARE","1.5","2009-09-17"
"BRFL","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-09-14"
